seed,strategy,model,threshold_mode,features,train_sources,test_source,accuracy,precision_weighted,recall_weighted,f1_weighted,recall_very_high,precision_very_high,f1_very_high
42,rule,decision_tree,default,ctx,mother_jones+stanford_msa,kaggle,0.3396825396825397,0.7974197722567287,0.3396825396825397,0.42980588364544914,0.6842105263157895,0.08125,0.1452513966480447
42,rule,decision_tree,default,ctx,kaggle+stanford_msa,mother_jones,0.29936305732484075,0.15311440152204484,0.29936305732484075,0.14860267279698786,0.0,0.0,0.0
42,rule,decision_tree,default,ctx,kaggle+mother_jones,stanford_msa,0.4251497005988024,0.8409836021101863,0.4251497005988024,0.496944283027365,0.06666666666666667,0.14285714285714285,0.09090909090909091
42,rule,decision_tree,youden,ctx,mother_jones+stanford_msa,kaggle,0.3396825396825397,0.7974197722567287,0.3396825396825397,0.42980588364544914,0.6842105263157895,0.08125,0.1452513966480447
42,rule,decision_tree,youden,ctx,kaggle+stanford_msa,mother_jones,0.09554140127388536,0.07180081065431385,0.09554140127388536,0.026442771665701602,1.0,0.09090909090909091,0.16666666666666666
42,rule,decision_tree,youden,ctx,kaggle+mother_jones,stanford_msa,0.4251497005988024,0.8409836021101863,0.4251497005988024,0.496944283027365,0.06666666666666667,0.14285714285714285,0.09090909090909091
42,rule,decision_tree,youden_val,ctx,mother_jones+stanford_msa,kaggle,0.2634920634920635,0.7474111904499193,0.2634920634920635,0.34685579810921086,0.10526315789473684,0.03773584905660377,0.05555555555555555
42,rule,decision_tree,youden_val,ctx,kaggle+stanford_msa,mother_jones,0.12738853503184713,0.016331863465621425,0.12738853503184713,0.028951939779965255,0.0,0.0,0.0
42,rule,decision_tree,youden_val,ctx,kaggle+mother_jones,stanford_msa,0.3592814371257485,0.8105892948079545,0.3592814371257485,0.46822900104073095,0.06666666666666667,0.14285714285714285,0.09090909090909091
42,rule,multinomial_lr,default,ctx,mother_jones+stanford_msa,kaggle,0.4634920634920635,0.7506824438695139,0.4634920634920635,0.5517281196966172,0.3684210526315789,0.10606060606060606,0.16470588235294117
42,rule,multinomial_lr,default,ctx,kaggle+stanford_msa,mother_jones,0.1910828025477707,0.11364144292404431,0.1910828025477707,0.13591376776090153,0.5714285714285714,0.12121212121212122,0.2
42,rule,multinomial_lr,default,ctx,kaggle+mother_jones,stanford_msa,0.4491017964071856,0.8314187851248036,0.4491017964071856,0.5558087126359033,0.06666666666666667,0.14285714285714285,0.09090909090909091
42,rule,multinomial_lr,youden,ctx,mother_jones+stanford_msa,kaggle,0.3619047619047619,0.773852779339849,0.3619047619047619,0.4545443605195467,0.47368421052631576,0.08571428571428572,0.14516129032258066
42,rule,multinomial_lr,youden,ctx,kaggle+stanford_msa,mother_jones,0.2929936305732484,0.15174222555264144,0.2929936305732484,0.14629415170816445,0.0,0.0,0.0
42,rule,multinomial_lr,youden,ctx,kaggle+mother_jones,stanford_msa,0.4550898203592814,0.8283375467862425,0.4550898203592814,0.5570857786728397,0.5333333333333333,0.08080808080808081,0.14035087719298245
42,rule,multinomial_lr,youden_val,ctx,mother_jones+stanford_msa,kaggle,0.3619047619047619,0.773852779339849,0.3619047619047619,0.4545443605195467,0.47368421052631576,0.08571428571428572,0.14516129032258066
42,rule,multinomial_lr,youden_val,ctx,kaggle+stanford_msa,mother_jones,0.16560509554140126,0.09377573974998596,0.16560509554140126,0.11463767280552593,0.35714285714285715,0.14705882352941177,0.20833333333333334
42,rule,multinomial_lr,youden_val,ctx,kaggle+mother_jones,stanford_msa,0.4281437125748503,0.8332787917786928,0.4281437125748503,0.5423104974776315,0.13333333333333333,0.0625,0.0851063829787234
42,rule,naive_bayes,default,ctx,mother_jones+stanford_msa,kaggle,0.12698412698412698,0.7490423280423281,0.12698412698412698,0.14790050005523633,0.2631578947368421,0.043859649122807015,0.07518796992481203
42,rule,naive_bayes,default,ctx,kaggle+stanford_msa,mother_jones,0.09554140127388536,0.03374530729320454,0.09554140127388536,0.02532329666087628,1.0,0.09271523178807947,0.1696969696969697
